model,predictor,N,png,printed_comparisons_pass
indep1,court_independence_lag1,825,figures/indep1__court_independence_lag1.png,True
indep2,court_independence_lag1,825,figures/indep2__court_independence_lag1.png,True
attack1,v2jupoatck_lag1,1074,figures/attack1__v2jupoatck_lag1.png,False
attack2,v2jupack_lag1,1074,figures/attack2__v2jupack_lag1.png,False
attack3,v2jureform_lag1,1074,figures/attack3__v2jureform_lag1.png,False
attack4,v2jupurge_lag1,1074,figures/attack4__v2jupurge_lag1.png,False
attack5,v2jupurge_lag1,1074,figures/attack5__v2jupurge_lag1.png,True
dejure1,wdj_expression_lag1,1074,figures/dejure1__wdj_expression_lag1.png,False
dejure2,wdj_expression_lag1,1074,figures/dejure2__wdj_expression_lag1.png,True
dejure3,wdj_press_lag1,1074,figures/dejure3__wdj_press_lag1.png,False
dejure4,wdj_press_lag1,1074,figures/dejure4__wdj_press_lag1.png,False
dejure5,wdj_citizen_lag1,1074,figures/dejure5__wdj_citizen_lag1.png,False
dejure6,wdj_citizen_lag1,1074,figures/dejure6__wdj_citizen_lag1.png,True
full1,court_independence_lag1,825,figures/full1__court_independence_lag1.png,True
full1,v2jupurge_lag1,825,figures/full1__v2jupurge_lag1.png,True
full2,court_independence_lag1,825,figures/full2__court_independence_lag1.png,True
full2,v2jupurge_lag1,825,figures/full2__v2jupurge_lag1.png,True
full2,wdj_expression_lag1,825,figures/full2__wdj_expression_lag1.png,True
full3,court_independence_lag1,825,figures/full3__court_independence_lag1.png,True
full3,v2jupurge_lag1,825,figures/full3__v2jupurge_lag1.png,True
full3,wdj_press_lag1,825,figures/full3__wdj_press_lag1.png,True
full4,court_independence_lag1,825,figures/full4__court_independence_lag1.png,False
full4,v2jupurge_lag1,825,figures/full4__v2jupurge_lag1.png,False
full4,wdj_citizen_lag1,825,figures/full4__wdj_citizen_lag1.png,False
